"DONNEES - Effectifs des médecins"
"SEXE - Ensemble tous sexes confondus"
"SECT.ACTIVITE - ENSEMBLE"

;;ANNEE;"2015"
"REGION ACTIVITE";"SPECIALITE";"AGE";
"FRANCE ENTIERE";"Ensemble des spécialités d'exercice";"Ensemble tous âges confondus";222150
"FRANCE ENTIERE";"Ensemble des spécialités d'exercice";"Moins de 30 ans";3757
"FRANCE ENTIERE";"Ensemble des spécialités d'exercice";"Entre 30 et 34 ans";18921
"FRANCE ENTIERE";"Ensemble des spécialités d'exercice";"Entre 35 et 39 ans";19748
"FRANCE ENTIERE";"Ensemble des spécialités d'exercice";"Entre 40 et 44 ans";20322
"FRANCE ENTIERE";"Ensemble des spécialités d'exercice";"Entre 45 et 49 ans";24148
"FRANCE ENTIERE";"Ensemble des spécialités d'exercice";"Entre 50 et 54 ans";32668
"FRANCE ENTIERE";"Ensemble des spécialités d'exercice";"Entre 55 et 59 ans";41445
"FRANCE ENTIERE";"Ensemble des spécialités d'exercice";"Entre 60 et 64 ans";37902
"FRANCE ENTIERE";"Ensemble des spécialités d'exercice";"Entre 65 et 69 ans";17759
"FRANCE ENTIERE";"Ensemble des spécialités d'exercice";"70 ans et plus";5480
"FRANCE ENTIERE";"Spécialistes";"Ensemble tous âges confondus";119665
"FRANCE ENTIERE";"Spécialistes";"Moins de 30 ans";1679
"FRANCE ENTIERE";"Spécialistes";"Entre 30 et 34 ans";10907
"FRANCE ENTIERE";"Spécialistes";"Entre 35 et 39 ans";11576
"FRANCE ENTIERE";"Spécialistes";"Entre 40 et 44 ans";11079
"FRANCE ENTIERE";"Spécialistes";"Entre 45 et 49 ans";13308
"FRANCE ENTIERE";"Spécialistes";"Entre 50 et 54 ans";15736
"FRANCE ENTIERE";"Spécialistes";"Entre 55 et 59 ans";22162
"FRANCE ENTIERE";"Spécialistes";"Entre 60 et 64 ans";20110
"FRANCE ENTIERE";"Spécialistes";"Entre 65 et 69 ans";9814
"FRANCE ENTIERE";"Spécialistes";"70 ans et plus";3294
"FRANCE ENTIERE";"Anatomie et cytologie pathologiques";"Ensemble tous âges confondus";1578
"FRANCE ENTIERE";"Anatomie et cytologie pathologiques";"Moins de 30 ans";13
"FRANCE ENTIERE";"Anatomie et cytologie pathologiques";"Entre 30 et 34 ans";124
"FRANCE ENTIERE";"Anatomie et cytologie pathologiques";"Entre 35 et 39 ans";119
"FRANCE ENTIERE";"Anatomie et cytologie pathologiques";"Entre 40 et 44 ans";143
"FRANCE ENTIERE";"Anatomie et cytologie pathologiques";"Entre 45 et 49 ans";207
"FRANCE ENTIERE";"Anatomie et cytologie pathologiques";"Entre 50 et 54 ans";246
"FRANCE ENTIERE";"Anatomie et cytologie pathologiques";"Entre 55 et 59 ans";315
"FRANCE ENTIERE";"Anatomie et cytologie pathologiques";"Entre 60 et 64 ans";282
"FRANCE ENTIERE";"Anatomie et cytologie pathologiques";"Entre 65 et 69 ans";104
"FRANCE ENTIERE";"Anatomie et cytologie pathologiques";"70 ans et plus";25
"FRANCE ENTIERE";"Anesthésie-réanimation";"Ensemble tous âges confondus";11149
"FRANCE ENTIERE";"Anesthésie-réanimation";"Moins de 30 ans";83
"FRANCE ENTIERE";"Anesthésie-réanimation";"Entre 30 et 34 ans";1144
"FRANCE ENTIERE";"Anesthésie-réanimation";"Entre 35 et 39 ans";1384
"FRANCE ENTIERE";"Anesthésie-réanimation";"Entre 40 et 44 ans";1158
"FRANCE ENTIERE";"Anesthésie-réanimation";"Entre 45 et 49 ans";1148
"FRANCE ENTIERE";"Anesthésie-réanimation";"Entre 50 et 54 ans";1095
"FRANCE ENTIERE";"Anesthésie-réanimation";"Entre 55 et 59 ans";2070
"FRANCE ENTIERE";"Anesthésie-réanimation";"Entre 60 et 64 ans";1985
"FRANCE ENTIERE";"Anesthésie-réanimation";"Entre 65 et 69 ans";912
"FRANCE ENTIERE";"Anesthésie-réanimation";"70 ans et plus";170
"FRANCE ENTIERE";"Biologie médicale";"Ensemble tous âges confondus";2934
"FRANCE ENTIERE";"Biologie médicale";"Moins de 30 ans";49
"FRANCE ENTIERE";"Biologie médicale";"Entre 30 et 34 ans";231
"FRANCE ENTIERE";"Biologie médicale";"Entre 35 et 39 ans";280
"FRANCE ENTIERE";"Biologie médicale";"Entre 40 et 44 ans";318
"FRANCE ENTIERE";"Biologie médicale";"Entre 45 et 49 ans";531
"FRANCE ENTIERE";"Biologie médicale";"Entre 50 et 54 ans";831
"FRANCE ENTIERE";"Biologie médicale";"Entre 55 et 59 ans";407
"FRANCE ENTIERE";"Biologie médicale";"Entre 60 et 64 ans";184
"FRANCE ENTIERE";"Biologie médicale";"Entre 65 et 69 ans";76
"FRANCE ENTIERE";"Biologie médicale";"70 ans et plus";27
"FRANCE ENTIERE";"Cardiologie et maladies vasculaires";"Ensemble tous âges confondus";6887
"FRANCE ENTIERE";"Cardiologie et maladies vasculaires";"Moins de 30 ans";159
"FRANCE ENTIERE";"Cardiologie et maladies vasculaires";"Entre 30 et 34 ans";623
"FRANCE ENTIERE";"Cardiologie et maladies vasculaires";"Entre 35 et 39 ans";626
"FRANCE ENTIERE";"Cardiologie et maladies vasculaires";"Entre 40 et 44 ans";595
"FRANCE ENTIERE";"Cardiologie et maladies vasculaires";"Entre 45 et 49 ans";788
"FRANCE ENTIERE";"Cardiologie et maladies vasculaires";"Entre 50 et 54 ans";983
"FRANCE ENTIERE";"Cardiologie et maladies vasculaires";"Entre 55 et 59 ans";1216
"FRANCE ENTIERE";"Cardiologie et maladies vasculaires";"Entre 60 et 64 ans";1037
"FRANCE ENTIERE";"Cardiologie et maladies vasculaires";"Entre 65 et 69 ans";612
"FRANCE ENTIERE";"Cardiologie et maladies vasculaires";"70 ans et plus";248
"FRANCE ENTIERE";"Chirurgie générale";"Ensemble tous âges confondus";3611
"FRANCE ENTIERE";"Chirurgie générale";"Moins de 30 ans";100
"FRANCE ENTIERE";"Chirurgie générale";"Entre 30 et 34 ans";929
"FRANCE ENTIERE";"Chirurgie générale";"Entre 35 et 39 ans";295
"FRANCE ENTIERE";"Chirurgie générale";"Entre 40 et 44 ans";190
"FRANCE ENTIERE";"Chirurgie générale";"Entre 45 et 49 ans";228
"FRANCE ENTIERE";"Chirurgie générale";"Entre 50 et 54 ans";197
"FRANCE ENTIERE";"Chirurgie générale";"Entre 55 et 59 ans";542
"FRANCE ENTIERE";"Chirurgie générale";"Entre 60 et 64 ans";628
"FRANCE ENTIERE";"Chirurgie générale";"Entre 65 et 69 ans";374
"FRANCE ENTIERE";"Chirurgie générale";"70 ans et plus";128
"FRANCE ENTIERE";"Chirurgie maxillo-faciale et stomatologie";"Ensemble tous âges confondus";1170
"FRANCE ENTIERE";"Chirurgie maxillo-faciale et stomatologie";"Moins de 30 ans";0
