"DONNEES - Effectifs des médecins"
"ANNEE - 2015"
"SECT.ACTIVITE - ENSEMBLE"
"AGE - Ensemble tous âges confondus"
"SEXE - Ensemble tous sexes confondus"

SPECIALITE;"Anatomie et cytologie pathologiques";"Anesthésie-réanimation";"Biologie médicale";"Cardiologie et maladies vasculaires";"Chirurgie générale";"Chirurgie maxillo-faciale et stomatologie";"Chirurgie orthopédique et traumatologie";"Chirurgie infantile";"Chirurgie plastique reconstructrice et esthétique";"Chirurgie thoracique et cardio-vasculaire";"Chirurgie urologique";"Chirurgie vasculaire";"Chirurgie viscérale et digestive";"Dermatologie et vénéréologie";"Endocrinologie et métabolisme";"Génétique médicale";"Gériatrie";"Gynécologie médicale";"Gynécologie-obstétrique";"Hématologie";"Gastro-entérologie et hépatologie";"Médecine du travail";"Médecine interne";"Médecine nucléaire";"Médecine physique et réadaptation";"Néphrologie";"Neurochirurgie";"Neurologie";"ORL et chirurgie cervico-faciale";"Oncologie option médicale";"Ophtalmologie";"Pédiatrie";"Pneumologie";"Psychiatrie";"Radiodiagnostic et imagerie médicale";"Radiothérapie";"Réanimation médicale";"Recherche médicale";"Rhumatologie";"Santé publique et médecine sociale";"Généralistes"
"REGION ACTIVITE";
"Alsace-Champagne-Ardenne-Lorraine";107;936;218;567;331;41;260;24;63;35;94;39;78;306;114;24;151;207;421;25;282;490;228;58;210;135;50;176;213;62;422;606;240;974;698;72;37;1;188;125;8388
"Aquitaine-Limousin-Poitou-Charentes";143;944;258;620;315;90;293;19;54;39;101;52;87;348;139;14;123;321;317;47;299;464;208;57;165;121;38;207;249;66;495;502;216;1286;729;76;18;0;189;138;9762
"Auvergne-Rhône-Alpes";182;1400;300;729;438;138;401;35;92;46;143;68;93;431;212;33;189;352;538;72;395;746;253;68;236;190;75;285;317;100;669;869;331;1776;981;97;19;3;341;207;12279
"Bourgogne-Franche-Comté";55;412;92;228;136;31;140;12;24;15;50;21;57;140;58;8;66;82;160;21;141;205;91;39;61;60;22;97;103;42;184;238;123;481;286;35;13;0;86;70;4144
"Bretagne";63;501;127;294;125;22;145;18;25;23;60;29;62;165;63;8;84;111;197;31;188;274;88;29;135;64;20;103;127;36;246;311;153;632;357;39;7;0;129;76;5137
"Centre-Val de Loire";48;305;91;218;119;33;103;7;22;11;45;18;31;113;51;8;65;85;156;22;112;172;85;24;52;57;18;60;95;26;160;237;91;403;273;42;10;0;87;40;3334
"Corse";3;43;13;35;12;7;15;2;3;0;8;4;6;13;7;0;2;13;12;1;18;17;7;4;12;6;4;7;15;4;29;24;13;59;34;4;0;0;8;2;503
"Guadeloupe";8;44;19;33;16;2;14;3;3;1;9;3;7;11;10;2;5;17;32;1;16;14;9;2;7;13;5;11;16;2;29;42;5;51;36;3;0;0;9;9;513
"Guyane";3;24;8;8;10;0;5;0;0;0;1;1;2;9;1;0;1;5;26;0;4;6;12;0;2;3;1;1;4;1;6;28;2;13;17;0;2;0;1;14;335
"Ile-de-France";402;2302;774;1626;810;330;607;64;277;113;196;74;171;1108;475;67;445;1064;1020;151;847;1235;717;158;337;360;106;589;796;272;1510;2266;648;4367;2017;171;109;7;650;477;18331
"La Réunion";10;149;29;72;30;10;19;7;8;9;13;5;13;29;18;3;7;19;81;5;33;39;24;3;25;30;6;16;31;2;50;138;27;133;89;8;2;0;11;26;1381
"Languedoc-Roussillon-Midi-Pyrénées";158;1084;252;631;286;124;300;22;73;40;110;44;106;375;225;16;132;267;352;42;313;456;183;61;245;148;51;217;288;64;526;650;279;1288;799;77;29;0;274;164;9765
"Martinique";7;67;14;22;15;3;18;4;5;2;6;2;2;17;8;1;6;13;27;1;10;18;10;1;11;10;2;7;13;3;33;42;10;62;36;6;1;0;11;11;487
"Mayotte";0;10;1;1;3;0;2;0;1;0;0;0;0;0;0;0;0;1;8;0;1;1;5;0;0;0;0;0;2;0;1;13;2;7;3;0;0;0;0;0;110
"Nord-Pas-de-Calais-Picardie";93;823;199;534;331;81;249;20;37;34;113;36;64;243;140;15;144;252;377;51;291;448;142;70;180;121;43;224;196;46;413;608;279;945;707;71;29;0;171;89;9000
"Normandie";62;447;118;263;181;64;127;14;20;16;56;27;53;149;62;8;77;117;201;19;169;232;82;28;70;82;26;103;154;36;237;316;141;525;351;42;7;0;111;61;4740
"Pays de la Loire";71;538;133;265;147;67;156;14;34;17;59;35;60;164;68;11;67;113;211;26;173;316;100;35;87;79;23;101;127;52;292;286;124;621;340;42;23;0;108;55;5299
"Provence-Alpes-Côte d’Azur";163;1120;288;741;306;127;303;35;126;35;107;64;85;443;178;21;83;272;441;37;338;472;175;56;208;134;37;185;308;82;605;685;268;1424;805;64;24;2;224;134;8976
"Saint Barthélémy";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
"Saint Martin";0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
