,too_sugar,too_sodium,too_fat
0,Chocolat noir,"Fromage industriel de France, à pâte molle à croûte fleurie, au lait pasteurisé de vache","Fromage industriel de France, à pâte molle à croûte fleurie, au lait pasteurisé de vache"
1,Biscuits,Préparation à base de chair de poisson,Aceite de oliva virgen extra
2,Ketchup,Ketchup,Chocolat noir
3,Chocolat au lait,Jambon cuit supérieur,Poisson en conserve
4,Jus de fruits,Chips,"Fromage industriel de France, à pâte fraîche, au lait pasteurisé de vache, à tartiner"
5,Céréales,"Fromage industriel de France, à pâte molle à croûte fleurie, double crème, au lait pasteurisé de vache",Biscuits
6,Compote de pommes,Soupe déshydratée,"Fromage de France AOP, à pâte pressée cuite, au lait cru de vache"
7,Pâte à tartiner aux noisettes,Pizza,Patatas fritas lisas
8,Yaourt à boire sucré aromatisé,Poisson en conserve,Chips
9,Céréales pour petit-déjeuner,Patatas fritas lisas,"Fromage industriel de France, à pâte molle à croûte fleurie, double crème, au lait pasteurisé de vache"
10,Confiserie gélifiée aromatisée,Saumon fumé,Chocolat au lait
11,Compote,Pain de mie,Mayonnaise
12,,Jambon,"Fromage de France, à pâte pressée cuite, au lait pasteurisé de vache, râpé"
13,,Bouillon déshydraté en tablettes,Beurre doux
14,,Chips de pommes de terre,Crème fraîche
15,,Pan de molde,Patatas fritas onduladas
16,,Mayonnaise,"Fromage industriel, à pâte pressée non cuite, au lait pasteurisé de vache, en tranches"
17,,Patatas fritas onduladas,Fromage à pâte filée italien au lait de vache pasteurisé
18,,,Matière grasse à tartiner et à cuire allégée (54% de MG)
19,,,"Fromage de France AOP, à pâte molle à croûte fleurie, au lait cru de vache"
20,,,"Fromage industriel de France, à pâte persillée, au lait pasteurisé de vache"
21,,,Sardines à l'huile
22,,,Chocolat
23,,,"Fromage de France, à pâte molle à croûte fleurie, au lait pasteurisé de vache, issu de l'agriculture biologique"
24,,,"Fromage industriel de France, à pâte fondue, au lait de vache"
25,,,Bouillon déshydraté en tablettes
26,,,Pâte à tartiner aux noisettes
27,,,Huile d'olive vierge extra
28,,,Chips de pommes de terre
29,,,Biscuits au chocolat
30,,,Mayonnaise à la moutarde de Dijon
31,,,"Fromage de France AOP, à pâte molle à croûte lavée, au lait pasteurisé de vache"
32,,,"Fromage italien AOP au lait cru de vache, râpé"
33,,,"Fromage italien, à pâte fraîche, triple crème, au lait pasteurisé de vache"
34,,,"Fromage industriel de France, à pâte fondue, au lait de vache, à tartiner"
35,,,Gâteaux
36,,,Pâte feuilletée
37,,,Rillettes de poulet rôti
38,,,"Fromage de France, à pâte molle à croûte fleurie, au lait cru de vache"
